ds,y
2023-01-10 18:00:27.309999872,88.4511
2023-01-10 18:01:27.312000000,88.42249
2023-01-10 18:02:27.309999872,88.40581
2023-01-10 18:03:27.309999872,88.42112
2023-01-10 18:04:27.309999872,88.42908
2023-01-10 18:05:27.309999872,88.43052
2023-01-10 18:06:27.309999872,88.42893
2023-01-10 18:07:27.309999872,88.39416
2023-01-10 18:08:27.309999872,88.40495
2023-01-10 18:09:27.309999872,88.41691
2023-01-10 18:10:27.309999872,88.39884
2023-01-10 18:11:27.309999872,88.42659
2023-01-10 18:12:27.309999872,88.41307
2023-01-10 18:13:27.309999872,88.404884
2023-01-10 18:14:27.309999872,88.40502
2023-01-10 18:15:27.309999872,88.410355
2023-01-10 18:16:27.309999872,88.39782
2023-01-10 18:17:27.309999872,88.404564
2023-01-10 18:18:27.309999872,88.4052
2023-01-10 18:19:27.309999872,88.392075
2023-01-10 18:20:27.309999872,88.41424
2023-01-10 18:21:27.309999872,88.41747
2023-01-10 18:22:27.309999872,88.397545
2023-01-10 18:23:27.313999872,88.38406
2023-01-10 18:24:27.309999872,88.40959
2023-01-10 18:25:27.309999872,88.384224
2023-01-10 18:26:27.312000000,88.3974
2023-01-10 18:27:27.309999872,88.414635
2023-01-10 18:28:27.309999872,88.37297
2023-01-10 18:29:27.309999872,88.383675
2023-01-10 18:30:27.309999872,88.39265
2023-01-10 18:31:27.309999872,88.42453
2023-01-10 18:32:27.309999872,88.39809
2023-01-10 18:33:27.309999872,88.408005
2023-01-10 18:34:27.309999872,88.39244
2023-01-10 18:35:27.312000000,88.38586
2023-01-10 18:36:27.309999872,88.34392
2023-01-10 18:37:27.309999872,88.403465
2023-01-10 18:38:27.309999872,88.37759
2023-01-10 18:39:27.309999872,88.36898
2023-01-10 18:40:27.309999872,88.36598
2023-01-10 18:41:27.309999872,88.38985
2023-01-10 18:42:27.309999872,88.41521
2023-01-10 18:43:27.309999872,88.384224
2023-01-10 18:44:27.309999872,88.3796
2023-01-10 18:45:27.309999872,88.3632
2023-01-10 18:46:27.309999872,88.365654
2023-01-10 18:47:27.309999872,88.35815
2023-01-10 18:48:27.309999872,88.39472
2023-01-10 18:49:27.309999872,88.39162
2023-01-10 18:50:27.309999872,88.384636
2023-01-10 18:51:27.309999872,88.38828
2023-01-10 18:52:27.309999872,88.34992
2023-01-10 18:53:27.309999872,88.372246
2023-01-10 18:54:27.309999872,88.3917
2023-01-10 18:55:27.309999872,88.36084
2023-01-10 18:56:27.309999872,88.356606
2023-01-10 18:57:27.309999872,88.37524
2023-01-10 18:58:27.309999872,88.3994
2023-01-10 18:59:27.309999872,88.360245
2023-01-10 19:00:27.309999872,88.36811
2023-01-10 19:01:27.309999872,88.38106
2023-01-10 19:02:27.309999872,88.359085
2023-01-10 19:03:27.309999872,88.36768
2023-01-10 19:04:27.309999872,88.370834
2023-01-10 19:05:27.309999872,88.35883
2023-01-10 19:06:27.309999872,88.369286
2023-01-10 19:07:27.309999872,88.3481
2023-01-10 19:08:27.312000000,88.34521
2023-01-10 19:09:27.309999872,88.34804
2023-01-10 19:10:27.309999872,88.36048
2023-01-10 19:11:27.309999872,88.36276
2023-01-10 19:12:27.309999872,88.35522
2023-01-10 19:13:27.309999872,88.34444
2023-01-10 19:14:27.309999872,88.37688
2023-01-10 19:15:27.309999872,88.375244
2023-01-10 19:16:27.309999872,88.36791
2023-01-10 19:17:27.309999872,88.34305
2023-01-10 19:18:27.309999872,88.37231
2023-01-10 19:19:27.309999872,88.3577
2023-01-10 19:20:27.309999872,88.36646
2023-01-10 19:21:27.309999872,88.34359
2023-01-10 19:22:27.309999872,88.34341
2023-01-10 19:23:27.309999872,88.350395
2023-01-10 19:24:27.309999872,88.357445
2023-01-10 19:25:27.309999872,88.34113
2023-01-10 19:26:27.309999872,88.32172
2023-01-10 19:27:27.309999872,88.34981
2023-01-10 19:28:27.309999872,88.34807
2023-01-10 19:29:27.309999872,88.31217
2023-01-10 19:30:27.309999872,88.359955
2023-01-10 19:31:27.309999872,88.341934
2023-01-10 19:32:27.309999872,88.34223
2023-01-10 19:33:27.309999872,88.35218
2023-01-10 19:34:27.309999872,88.327194
2023-01-10 19:35:27.309999872,88.35155
2023-01-10 19:36:27.309999872,88.357
2023-01-10 19:37:27.309999872,88.33533
2023-01-10 19:38:27.309999872,88.31523
2023-01-10 19:39:27.309999872,88.32731
2023-01-10 19:40:27.309999872,88.35913
2023-01-10 19:41:27.309999872,88.35258
2023-01-10 19:42:27.309999872,88.35035
2023-01-10 19:43:27.309999872,88.3205
2023-01-10 19:44:27.309999872,88.330986
2023-01-10 19:45:27.312000000,88.33075
2023-01-10 19:46:27.309999872,88.330635
2023-01-10 19:47:27.309999872,88.332886
2023-01-10 19:48:27.309999872,88.32432
2023-01-10 19:49:27.309999872,88.3133
2023-01-10 19:50:27.309999872,88.32098
2023-01-10 19:51:27.315000064,88.302505
2023-01-10 19:52:27.309999872,88.29755
2023-01-10 19:53:27.309999872,88.3149
2023-01-10 19:54:27.309999872,88.32646
2023-01-10 19:55:27.309999872,88.329414
2023-01-10 19:56:27.309999872,88.33153
2023-01-10 19:57:27.309999872,88.33382
2023-01-10 19:58:27.309999872,88.31182
2023-01-10 19:59:27.309999872,88.31049
2023-01-10 20:00:27.309999872,88.325386
2023-01-10 20:01:27.309999872,88.30394
2023-01-10 20:02:27.309999872,88.294075
2023-01-10 20:03:27.312999936,88.319664
2023-01-10 20:04:27.309999872,88.29323
2023-01-10 20:05:27.309999872,88.27912
2023-01-10 20:06:27.309999872,88.28319
2023-01-10 20:07:27.309999872,88.30523
2023-01-10 20:08:27.309999872,88.28844
2023-01-10 20:09:27.312999936,88.30055
2023-01-10 20:10:27.309999872,88.28394
2023-01-10 20:11:27.309999872,88.30567
2023-01-10 20:12:27.309999872,88.312386
2023-01-10 20:13:27.309999872,88.29769
2023-01-10 20:14:27.309999872,88.27631
2023-01-10 20:15:27.309999872,88.29361
2023-01-10 20:16:27.312999936,88.27105
2023-01-10 20:17:27.309999872,88.289795
2023-01-10 20:18:27.312000000,88.288666
2023-01-10 20:19:27.309999872,88.302345
2023-01-10 20:20:27.309999872,88.27734
2023-01-10 20:21:27.309999872,88.28709
2023-01-10 20:22:27.309999872,88.302956
2023-01-10 20:23:27.309999872,88.2775
2023-01-10 20:24:27.309999872,88.26885
2023-01-10 20:25:27.309999872,88.250336
2023-01-10 20:26:27.309999872,88.230606
2023-01-10 20:27:27.309999872,88.289276
